id,type,question,option_a,option_b,option_c,option_d,option_e,correct_options,source,topic
Q-0001,mc_single,Approaching work with a strong sense of responsibility is an important:,A) life skill.,B) self-actualization.,C) motivation.,D) personality approach.,,A,Review Questions #1,Life Skills
Q-0002,mc_single,"Many primitive cultures had belief systems that elevated tribal barbers to positions of importance, such as:",A) tonsorial artists.,B) shamans.,C) warriors.,D) rulers.,,B,Review Questions #2,History
Q-0003,mc_single,A balanced diet includes getting plenty of:,A) salt.,B) water.,C) fats.,D) sugar.,,B,Review Questions #3,Nutrition
Q-0004,mc_single,The best way to deal with disputes or differences within the barbershop is:,A) by avoiding the topic.,B) sharing information with others.,C) asking questions.,D) in private.,,D,Review Questions #4,Professionalism
Q-0005,mc_single,Staph bacteria causes:,A) chicken pox.,B) influenza.,C) common colds.,D) food poisoning.,,D,Review Questions #5,Sanitation
Q-0006,mc_single,An important life skill to remember and practice is:,A) being helpful and caring to others.,B) mastering techniques to become more serious.,C) sticking to goals only if necessary.,D) maintaining a protective attitude.,,A,Review Questions #6,Life Skills
Q-0007,mc_single,"The Latin word “___,” meaning “beard,” is the origin of the word barber.",A) tondere,B) tonsors,C) queue,D) barba,,D,Review Questions #7,History
Q-0008,mc_single,Diplococci are spherical bacteria that cause diseases such as:,A) strep throat.,B) pneumonia,C) syphilis.,D) typhoid fever.,,B,Review Questions #8,Microbiology
Q-0009,mc_single,Disinfectants are:,A) pesticides.,B) pathogens.,C) germicides.,D) antiseptics.,,A,Review Questions #9,Sanitation
Q-0010,mc_single,Hepatitis is a bloodborne virus that can damage the:,A) heart.,B) kidney.,C) lungs.,D) liver.,,D,Review Questions #10,Diseases
Q-0011,mc_single,"To create a mission statement, begin with your:",A) closest friends.,B) interests.,C) educational background.,D) confidence.,,B,Review Questions #11,Professional Growth
Q-0012,mc_single,The AMBBA adopted the barber code of ethics to promote:,A) professional responsibility.,B) professional education.,C) professional licensure.,D) the profession of beauticians.,,A,Review Questions #12,Ethics
Q-0013,mc_single,You should never mix bleach with:,A) detergents.,B) disinfectants.,C) pesticides.,D) water.,,A,Review Questions #13,Sanitation
Q-0014,mc_single,"Pathogenic bacteria, viruses, or fungi cannot enter the body through:",A) the mouth.,B) intact skin.,C) the nose.,D) inflamed skin.,,B,Review Questions #14,Microbiology
